Year,Month,Day,Pig Manure (kg),Kitchen Food Waste (kg),Chicken Litter (kg),Cassava (kg),Bagasse Feed (kg),Energy Grass (kg),Banana Shafts (kg),Alcohol Waste (kg),Municipal Residue (kg),Fish Waste (kg),Water (L),Diesel (L),Electricity Use (kWh),Temperature (C),Humidity (%),Rainfall (mm),C/N Ratio,Digester Temp (C),biogas_production
2010,1,1,14.78553723,7.305310118,13.05019156,17.68492626,14.83019691,9.906062691,7.742999703,4.523839716,3.48636544,4.191194518,82.61954682,2.866209015,25.25858268,33.13503721,75.99763665,10.19397115,26.6666533,36.84190552,58.95642
2010,1,1,15.25435697,16.03905153,12.68648863,10.4364174,17.29292115,16.46670654,5.785339267,3.115392489,16.21528544,5.903021245,107.3217346,3.58873531,34.32230514,29.26812826,76.98749367,1.284465529,23.10093395,32.53592114,71.951004
2010,1,1,35.56614195,19.99228703,8.336991862,33.46339149,15.88918362,5.330411816,9.085270484,6.229530996,24.62533762,4.300493721,138.3870902,0.070002521,18.19076028,31.73652299,81.42501799,3.108891819,21.27371181,37.35739343,102.96509
2010,1,2,34.49636281,17.75148443,8.23244622,14.09667117,14.08824513,8.093445509,11.88288467,4.055896172,13.98252843,7.469572675,99.47936262,1.532481765,44.19573417,29.67759265,85.8005279,1.940285526,31.25001141,33.8201315,83.783745
2010,1,2,21.18725533,13.53347636,14.48967157,14.75619046,12.16561136,12.06443147,4.597625208,10.07127888,11.53909846,2.617078639,86.32826221,0.362055932,30.25720865,29.73120792,73.23658715,2.442031011,20.17743488,36.57196258,70.48941
2010,1,2,29.30477371,25.52991649,12.31335739,8.477268854,18.89732471,3.495010835,9.156363326,8.025157419,16.19445001,6.468985065,73.36596098,4.192039285,35.26588981,32.97487501,62.84004796,0.680195959,26.35254995,36.38863999,87.616974
2010,1,3,18.83746369,13.24039291,4.36190856,28.22508369,13.49186749,10.46023765,7.676390829,3.271314125,13.42795834,6.688993454,105.0496265,1.78430618,25.30364743,27.32612388,70.54080029,1.976104095,22.82062615,38.6506429,69.600945
2010,1,3,38.88749495,25.43754115,13.15328481,11.72045346,22.09594494,10.57865319,6.773121447,2.548972482,3.690979742,4.237031391,115.4803369,1.993462169,21.79205556,27.94205928,55.55245186,5.593329516,18.34335275,37.5760778,89.053314
2010,1,3,31.82896876,25.75506707,12.45258969,17.50168738,19.40230111,11.55885399,5.582730634,4.745587106,6.867846796,7.044011265,160.0975496,0.440745993,17.99391162,28.70316093,81.18390422,5.90475006,22.9740595,34.81879111,89.8487
2010,1,4,17.04038641,14.43388009,11.84193291,15.56376238,10.39924742,17.33982639,7.299787226,1.442621816,17.31400756,5.814801355,80.48211284,2.800306095,19.96232301,29.78801142,74.08660286,0.791235442,25.59746285,36.61153792,69.73405
2010,1,4,24.09471583,19.09902959,10.70769359,11.96008158,15.06659405,7.854960325,3.07075041,3.752699464,13.64168191,5.045971353,148.7263855,2.628230342,6.032351977,34.14602058,73.88956247,5.906822381,23.29664768,33.64265708,78.119026
2010,1,4,31.31932158,26.45018756,5.40046959,15.67157208,24.00284099,9.18351407,9.225525607,5.674416112,8.367044937,6.046996696,95.35803072,0.773840744,29.4680085,31.75650537,91.21835614,10.3583894,27.5269126,35.07902239,86.32239
2010,1,5,23.21959007,28.96480687,12.40397419,30.58524346,21.77358336,19.5654717,3.41131727,4.535083001,11.06930381,6.305850408,69.71271654,3.680222397,26.9132224,27.73418762,83.49709692,5.134633225,20.88958528,35.86996263,92.71149
2010,1,5,37.64402414,26.17294972,17.14352001,34.07870937,8.046928046,10.0603726,11.03851508,8.975228193,11.12485443,4.945863157,77.24515489,2.146813756,34.14282697,28.04566849,69.05388715,1.475499639,23.3566768,37.48357155,101.42645
2010,1,6,20.79300923,10.32007404,18.49899892,21.68871121,11.60727797,14.29016081,12.76571513,4.631218601,5.705244008,7.578796673,139.92531,2.724947459,25.68745102,33.43039196,77.47970595,0.341656263,27.14808866,35.24156308,77.431625
2010,1,6,35.08063419,10.61940528,11.61994534,14.08120852,23.38191733,18.77203899,8.294573703,4.315288255,14.23100777,7.827200167,142.2683417,0.38371318,24.44463526,26.12499331,77.99152136,1.228375749,27.91402063,34.72798987,87.40979
2010,1,6,37.46589321,16.34331727,16.71635138,8.360260873,16.64683376,21.93071643,8.378841901,3.817608672,15.38185105,6.853701005,69.16045568,1.834657876,28.15787695,23.09699196,71.45700383,3.594463321,23.81692407,36.03443401,86.8192
2010,1,7,29.71739949,17.75749606,7.887966762,17.05083238,16.72674948,8.029367556,14.81167086,9.622449257,8.059036235,4.086329158,94.87606831,3.125878034,28.85824911,30.80023471,86.95576049,7.635910642,22.77404166,32.40938893,79.4817
2010,1,7,20.1768121,13.46178627,22.99772469,20.9353136,15.84703061,5.229844253,6.766299398,5.739083064,16.18433669,6.3154952,82.68987783,1.061867625,25.0273838,26.47388776,83.40252243,3.209019405,24.59600556,36.58600185,77.67608
2010,1,7,31.12190084,19.55862803,4.966546234,5.727356875,15.02330674,10.78036419,7.887306859,3.39257252,13.78155648,6.468814234,76.67040842,1.260499579,7.325539417,31.98251301,82.52881003,9.102052134,22.30873774,37.56429321,74.89177
2010,1,8,43.31871614,20.70649286,10.95320416,29.0681288,5.17638651,3.198918258,12.78777742,5.052943077,8.033298921,3.666594842,80.02964456,0.745430997,14.94304725,26.31693329,88.15702011,3.0825191,26.6245815,36.17637181,88.69844
2010,1,8,27.61718706,23.1044396,19.6864648,20.52001984,26.75518685,4.907968545,7.936560416,3.735115927,6.880433429,6.613823272,86.70997269,3.275883824,11.03354368,28.42976932,87.53511733,5.368354557,23.43459316,34.66765034,88.5759
2010,1,8,39.12135247,16.36953419,14.22303852,11.29260864,25.86639364,7.928570635,7.540709751,4.01447297,8.609536298,10.2785691,84.64452388,1.856299427,33.93859367,30.18774791,77.58395314,10.13621263,30.75468543,37.07058738,89.27478
2010,1,9,26.30904347,22.64010744,14.89624323,17.10687955,16.06275502,11.86773529,6.812464404,4.072528764,11.51880605,3.528486745,133.9933785,3.357864062,19.82681283,31.39439276,76.83526245,2.677120148,25.76008924,37.92822687,84.58042
2010,1,9,18.13469557,18.72095636,21.52711768,19.61647003,17.94611576,10.22907844,6.947088625,2.473744569,15.39968679,6.501567731,114.438369,1.741408637,15.75921391,28.86238624,91.9274932,19.33857385,23.57188597,34.13521085,82.55417
2010,1,9,14.01119384,21.98749144,8.720520078,19.33098063,16.13482373,9.962819699,5.730072193,6.753585271,27.52695871,8.112060713,92.91897307,2.277718142,21.87118415,33.29172424,63.19487667,14.66622906,26.77564617,36.65442415,82.26657
2010,1,10,24.38491574,21.89132034,4.148170319,21.99973727,15.4143167,5.21328363,9.778442532,6.350517095,3.411318506,5.387044378,134.0292816,2.65592571,30.19489041,31.75227043,79.62067133,6.132983809,22.14358251,39.17515034,73.90248
2010,1,10,12.73890018,15.02141509,17.2154839,19.35065968,14.56116799,8.719648316,12.78615335,7.026649724,6.042787692,6.214561989,103.8934251,1.869723038,22.40715173,28.13932026,72.21807056,3.26289629,30.4128052,36.27743694,67.355576
2010,1,11,30.80806455,21.81953126,14.33696727,27.50799605,5.819847521,7.761618494,6.578182203,4.700525715,10.5420902,6.591878466,135.8147193,0.962698355,11.79676876,34.07468299,82.42647175,7.745297421,25.06283561,37.74235042,89.0621
2010,1,11,22.23708785,29.33434909,10.91049056,10.99325387,7.436042477,3.624676904,6.232451362,2.609778349,12.00403862,6.306204097,133.0795996,0.410892535,11.8573097,26.88664741,63.80284891,4.788616677,25.79655968,36.55755698,73.82902
2010,1,11,33.05630268,23.3371478,3.017913855,6.112324659,0.446001435,6.524176353,4.446781805,5.286227023,18.83488417,7.782565206,85.04228341,1.970415924,32.8358086,30.91571574,78.16774079,6.440485054,26.50840025,37.41109294,75.00116
2010,1,12,38.9081508,12.00503481,17.79721337,25.63378513,15.13015214,7.83894593,8.158308986,3.381370848,16.14198075,3.451329725,86.9955409,1.881332363,21.12165021,28.33159702,73.32625513,3.211003757,24.11522761,35.82691998,90.96815
2010,1,12,13.12135803,30.44845655,16.37583578,2.021291264,3.134427072,14.64331182,9.060554125,5.663742905,15.7510767,7.542235548,153.5586254,0.651577992,11.36678221,25.92909291,86.70450752,9.675164753,20.03778036,35.21270083,73.10286
2010,1,12,28.75857223,23.69518486,14.36633386,24.12830871,15.06973755,11.28763963,11.46297387,5.286744467,9.476718003,6.216147798,135.3890618,0.515178852,27.86265557,29.06728883,79.89858351,6.873950335,22.93899345,34.29127104,89.887665
2010,1,13,26.37333141,21.75101503,10.32296621,17.37459809,28.39079108,8.636824953,8.59129116,4.944664651,13.43073773,5.200638046,69.05839472,0.768861015,16.29284698,26.46078735,70.25980844,8.729312347,27.38122427,34.06493206,82.86841
2010,1,13,12.27704088,15.29024542,10.43880761,17.70867107,9.992012627,6.789314601,8.52670298,7.061926778,18.50652968,5.047147952,104.2114276,2.43292907,46.60548399,32.88165818,87.65868551,1.074694648,28.46360968,36.2591657,68.61125
2010,1,13,25.69694127,7.334724962,17.05742203,20.731614,16.76962402,14.98262998,0.130808316,5.174784803,20.1061986,7.716998195,144.4073613,3.103951492,30.28953371,23.45329353,58.25294845,1.728437839,25.34169016,33.74229821,81.64
2010,1,14,15.99028567,15.91456827,16.84708457,24.36162968,7.94116441,5.438965867,13.72221851,6.416544112,9.815016473,10.18002798,113.3880682,1.786551382,26.53132921,35.70680194,74.66037039,1.278845794,23.67293564,37.57865347,77.33941
2010,1,14,26.70096379,11.10882555,1.690997223,24.38787749,15.83037022,4.865800999,4.773200739,6.429520327,7.125367302,11.01136622,103.8761384,2.335917906,22.5067831,32.05196322,74.83549448,1.728220534,26.03215039,36.73215701,70.74846
2010,1,14,29.27633696,17.05363007,12.78601815,15.24018682,11.71199786,12.11109487,7.701832602,7.407092256,20.5540219,5.988979887,108.1263832,2.724810818,32.07491813,32.98314411,57.11256847,9.418647253,20.54229482,37.65787201,86.51066
2010,1,15,27.69058215,21.24586446,8.348245504,17.94061344,17.92454402,5.576266109,6.168344972,3.699031914,14.12517797,6.07990144,101.8222052,2.916461106,31.59367732,31.6763695,82.78639793,3.529323435,32.81359515,32.32040838,82.059814
2010,1,15,15.91479267,38.36920307,2.964579046,16.80428782,20.72795542,5.861765545,6.607087919,6.304128572,8.370737192,6.816273347,110.2795925,1.428849675,37.37293521,28.2062783,82.44846921,1.435636916,23.21824461,37.49995404,77.56822
2010,1,16,24.65467031,0.480110004,11.72278138,34.27334766,12.09993102,7.28107335,4.192839103,4.946124981,15.08990378,7.105481156,86.76439568,1.198389168,28.33726846,26.82883971,77.93767278,0.075038698,24.8980994,34.9993754,71.683945
2010,1,16,17.33865443,24.67093939,14.79814151,21.85244711,13.29701912,11.50546329,6.322109934,0.984794403,3.464822123,5.769058611,71.68298041,1.861321086,15.27070865,29.60723225,86.24269673,2.482187064,25.28043005,33.53920358,70.92606
2010,1,16,11.01345325,20.08504446,7.410128493,35.0247434,12.27995781,7.463319604,13.39348061,4.786836462,11.29723823,11.54300218,95.75208331,1.528950091,7.838294997,28.84307637,85.76861076,2.522372594,20.79803757,32.63715576,75.51857
2010,1,17,24.75903274,15.83512031,16.06142424,26.35733133,11.10631163,18.00882542,4.851566887,3.466248666,9.029569365,6.676801658,121.3115634,2.324836673,33.52639842,30.46347376,86.70649799,12.02987273,27.37536801,35.44316578,81.92152
2010,1,17,10.63563999,19.81344361,13.80577406,23.20720401,13.27980216,9.991754334,1.274597857,4.422730921,10.4228157,6.632040218,106.1476071,3.277269778,39.5518187,33.06351711,73.19420702,1.085333903,18.71867969,40.65906672,71.642075
2010,1,17,21.27993965,15.48934775,7.052362134,15.3409411,23.11495885,13.63391971,10.3028461,4.983281658,9.514189832,6.219998067,107.8870675,2.295916632,18.54902591,30.22846644,75.65749403,4.794295279,23.38778914,36.74331351,72.159195
2010,1,18,42.66246968,0.860851636,12.84267473,16.25363592,10.77338116,14.03021137,3.850480098,3.860299574,12.03971217,6.816600175,66.93170641,0.529046608,16.50508332,24.55556457,67.45869192,3.043689645,28.04064641,33.76139676,74.943214
2010,1,18,36.65629188,11.513851,10.45360415,17.36055546,7.432576367,9.523047468,6.503054026,3.300410226,13.54944071,5.529313131,118.0232399,2.433240976,14.9206099,28.42038773,67.05210111,9.047017316,27.62653997,35.98288856,77.744774
2010,1,18,36.92347907,13.70754331,12.71668572,30.30549409,13.76180868,12.04909655,0.522520776,0.076132831,8.559976009,9.296320047,139.0336782,1.284609638,32.53551736,30.61046169,66.97986846,4.338667228,26.55870051,33.99006755,91.05356
2010,1,19,12.4703949,29.60707093,10.32556432,15.23369945,20.96899478,12.06412573,12.29671968,6.193022021,2.506154635,6.19363193,103.0721847,2.258678553,5.782658247,32.87455733,74.32616803,12.33135874,21.69651014,37.51930861,74.49812
